what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1417713919671
error,log,,,"Core exception while retrieving the content description",1417713919671
error,log,,,"Core exception while retrieving the content description",1417713919674
error,log,,,"Core exception while retrieving the content description",1417713919674
error,log,,,"Core exception while retrieving the content description",1417713919675
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417713921764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417713922287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417713924180
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1417713929957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417713930752
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1417713931120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417713931926
error,log,,,"Core exception while retrieving the content description",1417713932886
error,log,,,"Core exception while retrieving the content description",1417713932887
error,log,,,"Core exception while retrieving the content description",1417713932891
error,log,,,"Core exception while retrieving the content description",1417713932892
error,log,,,"Core exception while retrieving the content description",1417713932893
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417713935422
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1417713936122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1417713936631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417713937270
error,log,,,"Core exception while retrieving the content description",1417713938426
error,log,,,"Core exception while retrieving the content description",1417713938427
error,log,,,"Core exception while retrieving the content description",1417713938430
error,log,,,"Core exception while retrieving the content description",1417713938431
error,log,,,"Core exception while retrieving the content description",1417713938432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417714006913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417714019290
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1417714019885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417714020509
error,log,,,"Core exception while retrieving the content description",1417714021634
error,log,,,"Core exception while retrieving the content description",1417714021636
error,log,,,"Core exception while retrieving the content description",1417714021642
error,log,,,"Core exception while retrieving the content description",1417714021643
error,log,,,"Core exception while retrieving the content description",1417714021645
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417714023076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1417714025059
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1417714026453
error,log,,,"Core exception while retrieving the content description",1417714028231
error,log,,,"Core exception while retrieving the content description",1417714028232
error,log,,,"Core exception while retrieving the content description",1417714028238
error,log,,,"Core exception while retrieving the content description",1417714028239
error,log,,,"Core exception while retrieving the content description",1417714028241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417714032965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417714114580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417714118764
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417714119381
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1417714123232
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1417714123243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1417714129064
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417714129783
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417714130168
