what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417701856597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417701867683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417701867794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702152674
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1417702156409
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417702157968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417702161650
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417702173485
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1417702176975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417702179242
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1417702188950
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1417702195350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1417702195560
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1417702196036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702203890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702393788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702394552
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702479809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702480208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702480879
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417702482461
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1417702482870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702488463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702489000
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1417702490019
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1417702491335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702496065
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702983319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1417702985109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702986824
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1417702986849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702987600
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1417702990939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1417702991968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1417702992322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702994150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417702996804
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1417702996843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1417702997682
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1417703000604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417703000635
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1417703002661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1417703009254
