what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416563882528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416563884905
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416563885962
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1416563885996
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1416563886075
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1416563886093
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1416563887686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416563888034
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416563988752
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416563989289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416563989913
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1416563992738
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1416563992738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1416563992766
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1416564012758
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1416564014450
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1416564159490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1416564161396
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1416564161654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1416564161892
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1416564164051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1416564165738
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1416564168481
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1416564169340
error,log,,,"Internal Error",1416564169429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1416564171299
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564172128
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564179519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564183096
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564740606
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564749051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564749754
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564752324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564754172
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1416564755977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1416564756208
started,bundle,org.eclipse.rse.services,3.2.101.R33x_v201109141647,"org.eclipse.rse.services",1416564760497
started,bundle,org.eclipse.rse.core,3.2.1.R33x_v201109141647,"org.eclipse.rse.core",1416564760625
started,bundle,org.eclipse.rse.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.ui",1416564760952
started,bundle,org.eclipse.rse.files.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.files.ui",1416564760962
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.101.R33x_v201107181530,"org.eclipse.rse.subsystems.files.core",1416564760991
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.200.v201101042155,"org.eclipse.rse.subsystems.files.local",1416564760992
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.201.R33x_v201106281309,"org.eclipse.rse.subsystems.shells.core",1416564761134
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.local",1416564761134
started,bundle,org.eclipse.rse.connectorservice.local,2.1.300.v201101042155,"org.eclipse.rse.connectorservice.local",1416564761200
started,bundle,org.eclipse.rse.services.local,2.1.300.v201105311250,"org.eclipse.rse.services.local",1416564761227
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564761333
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1416564765287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1416564766816
opened,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1416564767319
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1416564767347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564767843
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openSearchDialog",1416564767857
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564770270
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1416564771903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564775815
executed,command,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.openSearchDialog",1416564775823
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564776088
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564776206
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1416564777706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1416564783893
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1416564787488
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1416564787760
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1416564787984
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1416564788207
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1416564788648
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1416564788904
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1416564789327
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1416564789647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1416564790592
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1416564790808
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1416564791307
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1416564791342
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1416564791373
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1416564791617
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1416564793456
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1416564793839
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1416564794095
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.wordNext",1416564794335
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1416564794898
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1416564795178
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1416564796167
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564802348
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564809017
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1416564810625
closed,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1416564810625
closed,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1416564810629
closed,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1416564810632
closed,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1416564810641
closed,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1416564810645
closed,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1416564810656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.closeAll",1416564810661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564811490
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564904041
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1416564905584
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.stop",1416564907795
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1416564908467
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1416564908525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416564911338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416565096315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416565097791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416565099832
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416566225334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416566226746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416573631452
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416573634211
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416573634700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416573635521
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416573811538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416573878697
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416578380925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416578383460
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416578384756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416578907121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416578908338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416578942774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416578949217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416579149553
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1416579151392
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1416579152455
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1416579152486
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416579155167
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416579156326
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1416579156377
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1416579161564
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1416579161605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416580075673
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416580098156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416580099830
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416631092165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416631094046
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1416631095008
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1416631095140
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1416631102616
closed,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1416631102617
